predictor,false_positive_rate,true_positive_rate,threshold
WER,0.0,0.0,inf
WER,0.0,0.0024937655860349127,1.117647059
WER,0.0,0.017456359102244388,0.761904762
WER,0.0,0.034912718204488775,0.75
WER,0.0,0.05236907730673317,0.7
WER,0.0,0.057356608478802994,0.694444444
WER,0.0,0.06234413965087282,0.684210526
WER,0.0,0.06733167082294264,0.681818182
WER,0.0,0.07231920199501247,0.678571429
WER,0.0,0.08229426433915212,0.666666667
WER,0.0,0.08728179551122195,0.658536585
WER,0.0,0.09226932668329177,0.653846154
WER,0.0,0.10224438902743142,0.652173913
WER,0.0,0.10473815461346633,0.65
WER,0.0,0.10972568578553615,0.64516129
WER,0.0,0.11221945137157108,0.642857143
WER,0.0,0.1172069825436409,0.64
WER,0.0,0.12468827930174564,0.633333333
WER,0.0,0.12967581047381546,0.631578947
WER,0.0,0.13216957605985039,0.627118644
WER,0.0,0.1371571072319202,0.625
WER,0.0,0.1396508728179551,0.619047619
WER,0.0,0.14713216957605985,0.615384615
WER,0.0,0.14962593516209477,0.612903226
WER,0.0,0.1596009975062344,0.611111111
WER,0.0,0.16209476309226933,0.609756098
WER,0.014492753623188406,0.16708229426433915,0.608695652
WER,0.014492753623188406,0.16957605985037408,0.607142857
WER,0.014492753623188406,0.1970074812967581,0.6
WER,0.028985507246376812,0.1970074812967581,0.592592593
WER,0.028985507246376812,0.20448877805486285,0.590909091
WER,0.028985507246376812,0.20698254364089774,0.588235294
WER,0.028985507246376812,0.2169576059850374,0.586206897
WER,0.028985507246376812,0.23192019950124687,0.583333333
WER,0.028985507246376812,0.23690773067331672,0.580645161
WER,0.028985507246376812,0.24438902743142144,0.575
WER,0.028985507246376812,0.2543640897755611,0.571428571
WER,0.028985507246376812,0.256857855361596,0.566666667
WER,0.028985507246376812,0.26433915211970077,0.5625
WER,0.028985507246376812,0.26932668329177056,0.56
WER,0.028985507246376812,0.2817955112219451,0.555555556
WER,0.043478260869565216,0.29177057356608477,0.551724138
WER,0.043478260869565216,0.2967581047381546,0.55
WER,0.043478260869565216,0.30423940149625933,0.548387097
WER,0.043478260869565216,0.3192019950124688,0.545454545
