predictor,false_positive_rate,true_positive_rate,threshold
WER,0.0,0.0,inf
WER,0.0033783783783783786,0.0,1.1764705882352942
WER,0.006756756756756757,0.0,0.9090909090909092
WER,0.006756756756756757,0.034482758620689655,0.5454545454545454
WER,0.010135135135135136,0.040229885057471264,0.5
WER,0.010135135135135136,0.04597701149425287,0.48
WER,0.013513513513513514,0.04597701149425287,0.4761904761904761
WER,0.013513513513513514,0.06321839080459771,0.4444444444444444
WER,0.016891891891891893,0.07471264367816093,0.4375
WER,0.016891891891891893,0.09195402298850575,0.4285714285714285
WER,0.016891891891891893,0.09770114942528736,0.4
WER,0.016891891891891893,0.10919540229885058,0.3846153846153846
WER,0.016891891891891893,0.12643678160919541,0.3658536585365853
WER,0.02027027027027027,0.12643678160919541,0.36
WER,0.02027027027027027,0.13793103448275862,0.3571428571428571
WER,0.02027027027027027,0.14367816091954022,0.3414634146341463
WER,0.02364864864864865,0.14367816091954022,0.3333333333333333
WER,0.02364864864864865,0.15517241379310345,0.3170731707317073
WER,0.02702702702702703,0.15517241379310345,0.3103448275862069
WER,0.02702702702702703,0.16666666666666666,0.3095238095238095
WER,0.02702702702702703,0.1781609195402299,0.3055555555555556
WER,0.030405405405405407,0.1781609195402299,0.3043478260869565
WER,0.030405405405405407,0.1839080459770115,0.3
WER,0.037162162162162164,0.1839080459770115,0.2916666666666667
WER,0.037162162162162164,0.20114942528735633,0.2857142857142857
WER,0.05067567567567568,0.21264367816091953,0.28
WER,0.057432432432432436,0.22413793103448276,0.2777777777777778
WER,0.057432432432432436,0.23563218390804597,0.2758620689655172
WER,0.060810810810810814,0.2413793103448276,0.2727272727272727
WER,0.060810810810810814,0.27011494252873564,0.2666666666666666
WER,0.060810810810810814,0.28160919540229884,0.2608695652173913
WER,0.060810810810810814,0.28735632183908044,0.2580645161290322
WER,0.060810810810810814,0.3045977011494253,0.25
WER,0.06418918918918919,0.3045977011494253,0.24
WER,0.06418918918918919,0.3160919540229885,0.2352941176470588
WER,0.06756756756756757,0.3275862068965517,0.2307692307692307
WER,0.06756756756756757,0.3390804597701149,0.2272727272727272
WER,0.07432432432432433,0.3620689655172414,0.2222222222222222
WER,0.08445945945945946,0.39655172413793105,0.2121212121212121
WER,0.08445945945945946,0.40229885057471265,0.2105263157894736
WER,0.08445945945945946,0.4367816091954023,0.2
WER,0.08783783783783784,0.4367816091954023,0.1951219512195122
WER,0.08783783783783784,0.4482758620689655,0.1935483870967742
WER,0.08783783783783784,0.46551724137931033,0.1923076923076923
WER,0.0945945945945946,0.47126436781609193,0.1904761904761904
WER,0.09797297297297297,0.47126436781609193,0.1891891891891892
WER,0.09797297297297297,0.4885057471264368,0.1875
WER,0.10135135135135136,0.4885057471264368,0.1851851851851851
WER,0.11148648648648649,0.5287356321839081,0.1818181818181818
WER,0.11486486486486487,0.5287356321839081,0.1785714285714285
WER,0.11486486486486487,0.5402298850574713,0.1739130434782608
WER,0.12162162162162163,0.5402298850574713,0.1707317073170731
WER,0.14189189189189189,0.5862068965517241,0.1666666666666666
WER,0.14527027027027026,0.5862068965517241,0.1632653061224489
WER,0.15202702702702703,0.5919540229885057,0.1612903225806451
WER,0.1554054054054054,0.6091954022988506,0.16
WER,0.16216216216216217,0.6091954022988506,0.1578947368421052
WER,0.16554054054054054,0.6091954022988506,0.15625
WER,0.1858108108108108,0.6091954022988506,0.1538461538461538
WER,0.1858108108108108,0.6149425287356322,0.15
WER,0.1891891891891892,0.6149425287356322,0.1481481481481481
WER,0.1891891891891892,0.6206896551724138,0.1470588235294117
WER,0.20608108108108109,0.6264367816091954,0.1428571428571428
WER,0.21283783783783783,0.632183908045977,0.1379310344827586
WER,0.21283783783783783,0.6494252873563219,0.1363636363636363
WER,0.21621621621621623,0.6551724137931034,0.1333333333333333
WER,0.2195945945945946,0.6666666666666666,0.1304347826086956
WER,0.22297297297297297,0.6724137931034483,0.1290322580645161
WER,0.22635135135135134,0.6896551724137931,0.125
WER,0.22635135135135134,0.6954022988505747,0.1212121212121212
WER,0.22972972972972974,0.7011494252873564,0.12
WER,0.23310810810810811,0.7011494252873564,0.1186440677966101
WER,0.23986486486486486,0.7126436781609196,0.1176470588235294
WER,0.24324324324324326,0.7126436781609196,0.1162790697674418
WER,0.24324324324324326,0.7183908045977011,0.1153846153846153
WER,0.24662162162162163,0.7183908045977011,0.1142857142857142
WER,0.25675675675675674,0.735632183908046,0.1111111111111111
WER,0.2668918918918919,0.735632183908046,0.1071428571428571
WER,0.2702702702702703,0.7413793103448276,0.1052631578947368
WER,0.27702702702702703,0.7413793103448276,0.1020408163265306
WER,0.2905405405405405,0.7528735632183908,0.1
WER,0.2972972972972973,0.764367816091954,0.0967741935483871
WER,0.3141891891891892,0.7701149425287356,0.0952380952380952
WER,0.3141891891891892,0.7758620689655172,0.0930232558139534
WER,0.34797297297297297,0.7988505747126436,0.0909090909090909
WER,0.35135135135135137,0.7988505747126436,0.088235294117647
WER,0.36486486486486486,0.8045977011494253,0.0869565217391304
WER,0.3783783783783784,0.8045977011494253,0.0857142857142857
WER,0.40540540540540543,0.8103448275862069,0.0833333333333333
WER,0.4155405405405405,0.8103448275862069,0.08
WER,0.4222972972972973,0.8160919540229885,0.0769230769230769
WER,0.4358108108108108,0.8160919540229885,0.074074074074074
WER,0.4391891891891892,0.8160919540229885,0.073170731707317
WER,0.4560810810810811,0.8333333333333334,0.0714285714285714
WER,0.4560810810810811,0.8505747126436781,0.0689655172413793
WER,0.47635135135135137,0.8563218390804598,0.0666666666666666
WER,0.4797297297297297,0.8563218390804598,0.064516129032258
WER,0.48986486486486486,0.8563218390804598,0.0625
WER,0.49324324324324326,0.8563218390804598,0.0612244897959183
